date,region,state,cases,deaths
2020-02-03,Nordeste,Piauí,0,0
2020-02-03,Nordeste,Rio Grande do Norte,0,0
2020-02-03,Nordeste,Sergipe,0,0
2020-02-03,Norte,Acre,0,0
2020-02-03,Norte,Amapá,0,0
2020-02-03,Norte,Amazonas,0,0
2020-02-03,Norte,Pará,0,0
2020-02-03,Norte,Rondônia,0,0
2020-02-03,Norte,Roraima,0,0
2020-02-03,Norte,Tocantins,0,0
2020-02-03,Sudeste,Espírito Santo,0,0
2020-02-03,Sudeste,Minas Gerais,0,0
2020-02-03,Sudeste,Rio de Janeiro,0,0
2020-02-03,Sudeste,São Paulo,0,0
2020-02-03,Sul,Paraná,0,0
2020-02-03,Sul,Rio Grande do Sul,0,0
2020-02-03,Sul,Santa Catarina,0,0
2020-02-04,Centro-Oeste,Distrito Federal,0,0
2020-02-04,Centro-Oeste,Goiás,0,0
2020-02-04,Centro-Oeste,Mato Grosso,0,0
2020-02-04,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-04,Nordeste,Alagoas,0,0
2020-02-04,Nordeste,Bahia,0,0
2020-02-04,Nordeste,Ceará,0,0
2020-02-04,Nordeste,Maranhão,0,0
2020-02-04,Nordeste,Paraíba,0,0
2020-02-04,Nordeste,Pernambuco,0,0
2020-02-04,Nordeste,Piauí,0,0
2020-02-04,Nordeste,Rio Grande do Norte,0,0
2020-02-04,Nordeste,Sergipe,0,0
2020-02-04,Norte,Acre,0,0
2020-02-04,Norte,Amapá,0,0
2020-02-04,Norte,Amazonas,0,0
2020-02-04,Norte,Pará,0,0
2020-02-04,Norte,Rondônia,0,0
2020-02-04,Norte,Roraima,0,0
2020-02-04,Norte,Tocantins,0,0
2020-02-04,Sudeste,Espírito Santo,0,0
2020-02-04,Sudeste,Minas Gerais,0,0
2020-02-04,Sudeste,Rio de Janeiro,0,0
2020-02-04,Sudeste,São Paulo,0,0
2020-02-04,Sul,Paraná,0,0
2020-02-04,Sul,Rio Grande do Sul,0,0
2020-02-04,Sul,Santa Catarina,0,0
2020-02-05,Centro-Oeste,Distrito Federal,0,0
2020-02-05,Centro-Oeste,Goiás,0,0
2020-02-05,Centro-Oeste,Mato Grosso,0,0
2020-02-05,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-05,Nordeste,Alagoas,0,0
2020-02-05,Nordeste,Bahia,0,0
2020-02-05,Nordeste,Ceará,0,0
2020-02-05,Nordeste,Maranhão,0,0
2020-02-05,Nordeste,Paraíba,0,0
2020-02-05,Nordeste,Pernambuco,0,0
2020-02-05,Nordeste,Piauí,0,0
2020-02-05,Nordeste,Rio Grande do Norte,0,0
2020-02-05,Nordeste,Sergipe,0,0
2020-02-05,Norte,Acre,0,0
2020-02-05,Norte,Amapá,0,0
2020-02-05,Norte,Amazonas,0,0
2020-02-05,Norte,Pará,0,0
2020-02-05,Norte,Rondônia,0,0
2020-02-05,Norte,Roraima,0,0
2020-02-05,Norte,Tocantins,0,0
2020-02-05,Sudeste,Espírito Santo,0,0
2020-02-05,Sudeste,Minas Gerais,0,0
2020-02-05,Sudeste,Rio de Janeiro,0,0
2020-02-05,Sudeste,São Paulo,0,0
2020-02-05,Sul,Paraná,0,0
2020-02-05,Sul,Rio Grande do Sul,0,0
2020-02-05,Sul,Santa Catarina,0,0
2020-02-06,Centro-Oeste,Distrito Federal,0,0
2020-02-06,Centro-Oeste,Goiás,0,0
2020-02-06,Centro-Oeste,Mato Grosso,0,0
